文件夹,USD文件,相对路径,根Xform名称,根Xform路径,根Xform是否有ArticulationRoot,ArticulationRoot路径,ArticulationRoot检查结果,Xform数量,group* Xform数量,非group*且非根Xform数量,USD关节数量,表格零件数量,表格当前关节数量,是否修改表格,表格读取状态,USD读取状态
CCI302350816108177-2,CCI302350816108177-2.usd,CCI302350816108177-2\CCI302350816108177-2.usd,root_camera,/root_camera,是,/root_camera,OK,5,2,2,2,2,2,否,OK,OK
CCI302350816108177-3,CCI302350816108177-3.usd,CCI302350816108177-3\CCI302350816108177-3.usd,root_camera,/root_camera,是,/root_camera,OK,7,3,3,3,3,3,否,OK,OK
CCI302350816108177-4,CCI302350816108177-4.usd,CCI302350816108177-4\CCI302350816108177-4.usd,root_camera,/root_camera,是,/root_camera,OK,7,3,3,3,3,3,否,OK,OK
CCI302350816108177-5,CCI302350816108177-5.usd,CCI302350816108177-5\CCI302350816108177-5.usd,root_camera,/root_camera,是,/root_camera,OK,11,5,5,5,5,5,否,OK,OK
CCI302350816108177-6,CCI302350816108177-6.usd,CCI302350816108177-6\CCI302350816108177-6.usd,root_camera,/root_camera,是,/root_camera,OK,5,2,2,2,2,2,否,OK,OK
CCI302350816108177-7,CCI302350816108177-7.usd,CCI302350816108177-7\CCI302350816108177-7.usd,root_camera,/root_camera,是,/root_camera,OK,9,4,4,4,4,4,否,OK,OK
CCI302350816108177-8,CCI302350816108177-8.usd,CCI302350816108177-8\CCI302350816108177-8.usd,root_camera,/root_camera,是,/root_camera,OK,5,2,2,2,2,2,否,OK,OK
CCI302350816108177-9,CCI302350816108177-9.usd,CCI302350816108177-9\CCI302350816108177-9.usd,root_camera,/root_camera,是,/root_camera,OK,11,5,5,5,5,5,否,OK,OK
CCI302350816108177-10,CCI302350816108177-10.usd,CCI302350816108177-10\CCI302350816108177-10.usd,root_camera,/root_camera,是,/root_camera,OK,5,2,2,2,2,2,否,OK,OK
CCI302350816108177-11,CCI302350816108177-11.usd,CCI302350816108177-11\CCI302350816108177-11.usd,root_camera,/root_camera,是,/root_camera,OK,13,6,6,6,6,6,否,OK,OK
CDH30235081704773-1,CDH30235081704773-1.usd,CDH30235081704773-1\CDH30235081704773-1.usd,root_camera,/root_camera,是,/root_camera,OK,5,2,2,2,2,2,否,OK,OK
CDH30235081704773-2,CDH30235081704773-2.usd,CDH30235081704773-2\CDH30235081704773-2.usd,root_camera,/root_camera,是,/root_camera,OK,5,2,2,2,2,2,否,OK,OK
CDH30235081704773-3,CDH30235081704773-3.usd,CDH30235081704773-3\CDH30235081704773-3.usd,root_camera,/root_camera,是,/root_camera,OK,5,2,2,2,2,2,否,OK,OK
CDH30235081704773-4,CDH30235081704773-4.usd,CDH30235081704773-4\CDH30235081704773-4.usd,root_camera,/root_camera,是,/root_camera,OK,5,2,2,2,2,2,否,OK,OK
CDH30235081704773-5,CDH30235081704773-5.usd,CDH30235081704773-5\CDH30235081704773-5.usd,root_camera,/root_camera,是,/root_camera,OK,5,2,2,2,2,2,否,OK,OK
CDH30235081704773-6,CDH30235081704773-6.usd,CDH30235081704773-6\CDH30235081704773-6.usd,root_camera,/root_camera,是,/root_camera,OK,5,2,2,2,2,2,否,OK,OK
CDH30235081704773-7,CDH30235081704773-7.usd,CDH30235081704773-7\CDH30235081704773-7.usd,root_camera,/root_camera,是,/root_camera,OK,5,2,2,2,2,2,否,OK,OK
CDH30235081704773-8,CDH30235081704773-8.usd,CDH30235081704773-8\CDH30235081704773-8.usd,root_camera,/root_camera,是,/root_camera,OK,5,2,2,2,2,2,否,OK,OK
CDH30235081704773-10,CDH30235081704773-10.usd,CDH30235081704773-10\CDH30235081704773-10.usd,root_camera,/root_camera,是,/root_camera,OK,5,2,2,2,2,2,否,OK,OK
CDH30235081704773-12,CDH30235081704773-12.usd,CDH30235081704773-12\CDH30235081704773-12.usd,root_camera,/root_camera,是,/root_camera,OK,5,2,2,2,2,2,否,OK,OK
