文件夹,USD文件,相对路径,根Xform名称,根Xform路径,根Xform是否有ArticulationRoot,ArticulationRoot路径,ArticulationRoot检查结果,Xform数量,group* Xform数量,非group*且非根Xform数量,USD关节数量,表格零件数量,表格当前关节数量,是否修改表格,表格读取状态,USD读取状态
1116140109-1,1116140109-1.usd,1116140109-1\1116140109-1.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1116140109-2,1116140109-2.usd,1116140109-2\1116140109-2.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1116140109-3,1116140109-3.usd,1116140109-3\1116140109-3.usd,World,/World,是,/World,OK,7,3,3,3,,,否,表格不存在,OK
1116140109-4,1116140109-4.usd,1116140109-4\1116140109-4.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1143705419-1,1143705419-1.usd,1143705419-1\1143705419-1.usd,root_glass,/root_glass,是,/root_glass,OK,39,21,17,17,,,否,表格不存在,OK
1143705419-3,1143705419-3.usd,1143705419-3\1143705419-3.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1143705419-4,1143705419-4.usd,1143705419-4\1143705419-4.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1143705419-5,1143705419-5.usd,1143705419-5\1143705419-5.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1143705419-6,1143705419-6.usd,1143705419-6\1143705419-6.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1143705419-7,1143705419-7.usd,1143705419-7\1143705419-7.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1143705419-8,1143705419-8.usd,1143705419-8\1143705419-8.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1143705419-9,1143705419-9.usd,1143705419-9\1143705419-9.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1151211452-1,1151211452-1.usd,1151211452-1\1151211452-1.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1151211452-2,1151211452-2.usd,1151211452-2\1151211452-2.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1151211452-3,1151211452-3.usd,1151211452-3\1151211452-3.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1151211452-4,1151211452-4.usd,1151211452-4\1151211452-4.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1151211452-5,1151211452-5.usd,1151211452-5\1151211452-5.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1151211452-6,1151211452-6.usd,1151211452-6\1151211452-6.usd,root_glass,/root_glass,是,/root_glass,OK,7,3,3,3,,,否,表格不存在,OK
1151211452-7,1151211452-7.usd,1151211452-7\1151211452-7.usd,root_glass,/root_glass,是,/root_glass,OK,18,17,0,0,,,否,表格不存在,OK
1151211452-8,1151211452-8.usd,1151211452-8\1151211452-8.usd,root_glass,/root_glass,是,/root_glass,OK,18,17,0,0,,,否,表格不存在,OK
