序号,文件夹名称,匹配行数,输出文件,状态
1,1190807174-15,1,E:\Data\USD\kook\1190807174-15\1190807174-15.xlsx,已生成
2,1190807174-16,1,E:\Data\USD\kook\1190807174-16\1190807174-16.xlsx,已生成
3,1190807174-17,1,E:\Data\USD\kook\1190807174-17\1190807174-17.xlsx,已生成
4,1190807174-20,1,E:\Data\USD\kook\1190807174-20\1190807174-20.xlsx,已生成
5,1190807174-21,1,E:\Data\USD\kook\1190807174-21\1190807174-21.xlsx,已生成
6,1190807174-22,1,E:\Data\USD\kook\1190807174-22\1190807174-22.xlsx,已生成
7,1190807174-23,1,E:\Data\USD\kook\1190807174-23\1190807174-23.xlsx,已生成
8,1190807231-2,1,E:\Data\USD\kook\1190807231-2\1190807231-2.xlsx,已生成
9,1190807231-3,1,E:\Data\USD\kook\1190807231-3\1190807231-3.xlsx,已生成
10,1190807231-4,1,E:\Data\USD\kook\1190807231-4\1190807231-4.xlsx,已生成
11,1190807231-5,1,E:\Data\USD\kook\1190807231-5\1190807231-5.xlsx,已生成
12,1190807231-6,1,E:\Data\USD\kook\1190807231-6\1190807231-6.xlsx,已生成
13,1190807231-7,1,E:\Data\USD\kook\1190807231-7\1190807231-7.xlsx,已生成
14,1190807231-9,1,E:\Data\USD\kook\1190807231-9\1190807231-9.xlsx,已生成
15,1190807231-10,1,E:\Data\USD\kook\1190807231-10\1190807231-10.xlsx,已生成
16,1190807231-11,1,E:\Data\USD\kook\1190807231-11\1190807231-11.xlsx,已生成
17,1190807231-12,1,E:\Data\USD\kook\1190807231-12\1190807231-12.xlsx,已生成
18,1190807231-13,1,E:\Data\USD\kook\1190807231-13\1190807231-13.xlsx,已生成
19,1190807231-14,1,E:\Data\USD\kook\1190807231-14\1190807231-14.xlsx,已生成
20,1190807231-15,1,E:\Data\USD\kook\1190807231-15\1190807231-15.xlsx,已生成
21,1190807231-16,1,E:\Data\USD\kook\1190807231-16\1190807231-16.xlsx,已生成
22,1190807231-17,1,E:\Data\USD\kook\1190807231-17\1190807231-17.xlsx,已生成
23,1190807231-19,1,E:\Data\USD\kook\1190807231-19\1190807231-19.xlsx,已生成
24,1190807231-20,1,E:\Data\USD\kook\1190807231-20\1190807231-20.xlsx,已生成
25,1190807231-21,1,E:\Data\USD\kook\1190807231-21\1190807231-21.xlsx,已生成
26,1190807231-22,1,E:\Data\USD\kook\1190807231-22\1190807231-22.xlsx,已生成
27,1190807231-23,1,E:\Data\USD\kook\1190807231-23\1190807231-23.xlsx,已生成
28,1192897961-3,1,E:\Data\USD\kook\1192897961-3\1192897961-3.xlsx,已生成
29,1192897961-4,1,E:\Data\USD\kook\1192897961-4\1192897961-4.xlsx,已生成
30,1192897961-6,1,E:\Data\USD\kook\1192897961-6\1192897961-6.xlsx,已生成
31,1192897961-7,1,E:\Data\USD\kook\1192897961-7\1192897961-7.xlsx,已生成
32,1192897961-8,1,E:\Data\USD\kook\1192897961-8\1192897961-8.xlsx,已生成
33,1192897961-9,1,E:\Data\USD\kook\1192897961-9\1192897961-9.xlsx,已生成
34,1192897961-10,1,E:\Data\USD\kook\1192897961-10\1192897961-10.xlsx,已生成
35,1192897961-11,1,E:\Data\USD\kook\1192897961-11\1192897961-11.xlsx,已生成
36,1192897961-12,1,E:\Data\USD\kook\1192897961-12\1192897961-12.xlsx,已生成
37,1192897961-13,1,E:\Data\USD\kook\1192897961-13\1192897961-13.xlsx,已生成
38,1192897961-14,1,E:\Data\USD\kook\1192897961-14\1192897961-14.xlsx,已生成
39,1192897961-15,1,E:\Data\USD\kook\1192897961-15\1192897961-15.xlsx,已生成
40,1192897961-16,1,E:\Data\USD\kook\1192897961-16\1192897961-16.xlsx,已生成
41,1192897961-17,1,E:\Data\USD\kook\1192897961-17\1192897961-17.xlsx,已生成
42,1192897961-18,1,E:\Data\USD\kook\1192897961-18\1192897961-18.xlsx,已生成
43,1192897961-21,1,E:\Data\USD\kook\1192897961-21\1192897961-21.xlsx,已生成
44,1192897961-22,1,E:\Data\USD\kook\1192897961-22\1192897961-22.xlsx,已生成
45,1194693214-1,1,E:\Data\USD\kook\1194693214-1\1194693214-1.xlsx,已生成
46,1194693214-2,1,E:\Data\USD\kook\1194693214-2\1194693214-2.xlsx,已生成
47,1194693214-3,1,E:\Data\USD\kook\1194693214-3\1194693214-3.xlsx,已生成
48,1194693214-4,1,E:\Data\USD\kook\1194693214-4\1194693214-4.xlsx,已生成
49,1194693214-5,1,E:\Data\USD\kook\1194693214-5\1194693214-5.xlsx,已生成
50,1194693214-6,1,E:\Data\USD\kook\1194693214-6\1194693214-6.xlsx,已生成
51,1194693214-7,1,E:\Data\USD\kook\1194693214-7\1194693214-7.xlsx,已生成
52,1194693214-8,1,E:\Data\USD\kook\1194693214-8\1194693214-8.xlsx,已生成
53,1194693214-9,1,E:\Data\USD\kook\1194693214-9\1194693214-9.xlsx,已生成
54,1194693214-10,1,E:\Data\USD\kook\1194693214-10\1194693214-10.xlsx,已生成
